name,lat,lon,seaLevelRise
Albania,48.1533,190.447,7.9
Algeria,35.7528,183.0422,8.2
Angola,-4.8383,190.2344,11
Antigua and Barbuda,20.0608,102.7964,10.6
Argentina,-30.4161,130.5759,5.4
Australia,-25.8688,-50.2093,12.9
Bahamas,25.0343,99.3963,12.3
Bangladesh,23.3569,270.7832,11.5
Barbados,18.1939,108.5432,10
Belize,17.5046,92.1962,11.4
Bermuda,28.3078,107.7505,14.8
Brazil,-20.9068,140.1729,8.3
Brunei,2.9031,-68,10.4
Cambodia,10.6333,283.5,9.8
Canada,43.4284,75.3656,-6.3
Cape Verde,18.9167,160.5167,10.9
Chile,-24.4489,110.6693,-0.2
China,23.3193,293,10.9
Colombia,10.391,104.3963,10
Comoros,-8.9068,224.0422,12.1
Cook Islands,-20.9068,45.907,7.9
Costa Rica,13.5046,92.1962,9
Croatia,50.1533,186.447,8.5
Cuba,25.0343,95.3963,11.8
Cyprus,40.1533,210.447,10.4
Democratic Republic of the Congo,-0.8383,190.2344,12.8
Denmark,58.1533,186.447,6.8
Dominica,21.1939,108.5432,10.7
Dominican Republic,22.0608,102.7964,9.7
Ecuador,5.391,102.3963,7.9
Egypt,30.1533,210.447,11.2
El Salvador,15.5046,92.1962,7.1
Equatorial Guinea,5.8383,186.2344,11.9
Eritrea,9.9068,224.0422,12.1
Estonia,62.1533,200.447,-2.8
Federal Republic of Somalia,2.0068,224.0422,11.5
Fiji,-15.8688,0.2093,11.9
Finland,65.1533,200.447,-11.8
France,47.1533,183.447,9.2
Greece,40.1533,201.447,10.1
Iceland,70.9167,150.5167,0.9
India,17.3569,255.7832,11
Indonesia,-6.6333,285.5,13.4
Italy,43.1533,185.447,8.8
Japan,35.8688,-45.2093,9.8
Kenya,-2.0068,220.0422,11.2
Mexico,19.5046,78.1962,11.7
Pakistan,28.3569,243.7832,10.2
Philippines,12.6333,300.5,11.6
Russia,50.3569,255.7832,-1.4
Saudi Arabia,26.9068,227.0422,11.5
Singapore, 0.6333,283.5 ,9.8
Solomon Islands,-7.8688,-20.2093,16.6
South Africa, -28.8383,205.2344 ,9.8
South Korea, ,10
Sri Lanka,7.3569,260.7832,10.9
Thailand, 15.6333,279.5 ,11.9
United Arab Emirates,20.9068,230.0422,11.3
United Kingdom,56.1533,178.447,9.3
United States,30.4284,76.5656,12.2
Vietnam,21.3193,285,10.8
Yemen,14.9068,226.0422,11.7
